,Hour_q,Price
2022-01-01 00:00:00+01:00,0,61.83783
2022-01-02 00:00:00+01:00,0,57.07848
2022-01-03 00:00:00+01:00,0,20.89311
2022-01-04 00:00:00+01:00,0,110.14028
2022-01-05 00:00:00+01:00,0,109.85968
2022-01-06 00:00:00+01:00,0,131.92046
2022-01-07 00:00:00+01:00,0,148.0434
2022-01-08 00:00:00+01:00,0,170.09743
2022-01-09 00:00:00+01:00,0,200.92883
2022-01-10 00:00:00+01:00,0,196.23
2022-01-11 00:00:00+01:00,0,210.34204
2022-01-12 00:00:00+01:00,0,196.65
2022-01-13 00:00:00+01:00,0,177.33527
2022-01-14 00:00:00+01:00,0,150.08922
2022-01-15 00:00:00+01:00,0,222.00509
2022-01-16 00:00:00+01:00,0,225.92
2022-01-17 00:00:00+01:00,0,201.1
2022-01-18 00:00:00+01:00,0,194.38859
2022-01-19 00:00:00+01:00,0,190
2022-01-20 00:00:00+01:00,0,121.95945
2022-01-21 00:00:00+01:00,0,197.6
2022-01-22 00:00:00+01:00,0,165.01048
2022-01-23 00:00:00+01:00,0,177.05807
2022-01-24 00:00:00+01:00,0,185.0482
2022-01-25 00:00:00+01:00,0,217
2022-01-26 00:00:00+01:00,0,218
2022-01-27 00:00:00+01:00,0,238.4
2022-01-28 00:00:00+01:00,0,219
2022-01-29 00:00:00+01:00,0,152.23181
2022-01-30 00:00:00+01:00,0,227.12
2022-01-31 00:00:00+01:00,0,148.01105
2022-02-01 00:00:00+01:00,0,185.07711
2022-02-02 00:00:00+01:00,0,194.24
2022-02-03 00:00:00+01:00,0,167.10388
2022-02-04 00:00:00+01:00,0,189.1
2022-02-05 00:00:00+01:00,0,214.56
2022-02-06 00:00:00+01:00,0,208.56
2022-02-07 00:00:00+01:00,0,178
2022-02-08 00:00:00+01:00,0,139.23407
2022-02-09 00:00:00+01:00,0,171
2022-02-10 00:00:00+01:00,0,200.99157
2022-02-11 00:00:00+01:00,0,196.17
2022-02-12 00:00:00+01:00,0,195.909
2022-02-13 00:00:00+01:00,0,131.00189
2022-02-14 00:00:00+01:00,0,180.12
2022-02-15 00:00:00+01:00,0,198.18
2022-02-16 00:00:00+01:00,0,192.02
2022-02-17 00:00:00+01:00,0,140.04497
2022-02-18 00:00:00+01:00,0,100.08505
2022-02-19 00:00:00+01:00,0,139
2022-02-20 00:00:00+01:00,0,129.2
2022-02-21 00:00:00+01:00,0,125
2022-02-22 00:00:00+01:00,0,112.53236
2022-02-23 00:00:00+01:00,0,108.3182
2022-02-24 00:00:00+01:00,0,138.5
2022-02-25 00:00:00+01:00,0,246.8
2022-02-26 00:00:00+01:00,0,179.84686
