,Hour_q,Price
2022-01-01 00:00:00+01:00,0,942.2
2022-01-02 00:00:00+01:00,0,1296.9
2022-01-03 00:00:00+01:00,0,1130.2
2022-01-04 00:00:00+01:00,0,1314.3
2022-01-05 00:00:00+01:00,0,1348.5
2022-01-06 00:00:00+01:00,0,1085.2
2022-01-07 00:00:00+01:00,0,1147.7
2022-01-08 00:00:00+01:00,0,1094.4
2022-01-09 00:00:00+01:00,0,1234
2022-01-10 00:00:00+01:00,0,1086.5
2022-01-11 00:00:00+01:00,0,1531.3
2022-01-12 00:00:00+01:00,0,1419.5
2022-01-13 00:00:00+01:00,0,1098.7
2022-01-14 00:00:00+01:00,0,1226.4
2022-01-15 00:00:00+01:00,0,727.3
2022-01-16 00:00:00+01:00,0,668.5
2022-01-17 00:00:00+01:00,0,1296.9
2022-01-18 00:00:00+01:00,0,1389.3
2022-01-19 00:00:00+01:00,0,1173
2022-01-20 00:00:00+01:00,0,1242.5
2022-01-21 00:00:00+01:00,0,1057.6
2022-01-22 00:00:00+01:00,0,852.6
2022-01-23 00:00:00+01:00,0,955.5
2022-01-24 00:00:00+01:00,0,1121.8
2022-01-25 00:00:00+01:00,0,852.223
2022-01-26 00:00:00+01:00,0,985.4259999999999
2022-01-27 00:00:00+01:00,0,865.5000000000001
2022-01-28 00:00:00+01:00,0,1205.3
2022-01-29 00:00:00+01:00,0,1454.2
2022-01-30 00:00:00+01:00,0,1097.2
2022-01-31 00:00:00+01:00,0,1380.3
2022-02-01 00:00:00+01:00,0,1484.3
2022-02-02 00:00:00+01:00,0,962.1999999999999
2022-02-03 00:00:00+01:00,0,1092.3
2022-02-04 00:00:00+01:00,0,986.4000000000001
2022-02-05 00:00:00+01:00,0,994.0999999999999
2022-02-06 00:00:00+01:00,0,1051.2
2022-02-07 00:00:00+01:00,0,1134.8000000000002
2022-02-08 00:00:00+01:00,0,1301.4
2022-02-09 00:00:00+01:00,0,1184
2022-02-10 00:00:00+01:00,0,1043.9
2022-02-11 00:00:00+01:00,0,997.4
2022-02-12 00:00:00+01:00,0,453.8
2022-02-13 00:00:00+01:00,0,1174.5
2022-02-14 00:00:00+01:00,0,1039.6
2022-02-15 00:00:00+01:00,0,1095.2
2022-02-16 00:00:00+01:00,0,1067.2
2022-02-17 00:00:00+01:00,0,1387.4
2022-02-18 00:00:00+01:00,0,1411.4
2022-02-19 00:00:00+01:00,0,1335.2
2022-02-20 00:00:00+01:00,0,1111.6
2022-02-21 00:00:00+01:00,0,1228.4
2022-02-22 00:00:00+01:00,0,1408.4
2022-02-23 00:00:00+01:00,0,1556.5
2022-02-24 00:00:00+01:00,0,1402.2
2022-02-25 00:00:00+01:00,0,1010.0999999999999
2022-02-26 00:00:00+01:00,0,889.7
2022-02-27 00:00:00+01:00,0,960.6
2022-02-28 00:00:00+01:00,0,1439.7
2022-03-01 00:00:00+01:00,0,1020.9
2022-03-02 00:00:00+01:00,0,400.324
2022-03-03 00:00:00+01:00,0,906.7
2022-03-04 00:00:00+01:00,0,1000.5
2022-03-05 00:00:00+01:00,0,926.6
2022-03-06 00:00:00+01:00,0,731.5
2022-03-07 00:00:00+01:00,0,903.6
2022-03-08 00:00:00+01:00,0,988.7
2022-03-09 00:00:00+01:00,0,1143.1
2022-03-10 00:00:00+01:00,0,1101.8
2022-03-11 00:00:00+01:00,0,1150.3
2022-03-12 00:00:00+01:00,0,761.8
2022-03-13 00:00:00+01:00,0,774.3
2022-03-14 00:00:00+01:00,0,789.7
2022-03-15 00:00:00+01:00,0,892.7
2022-03-16 00:00:00+01:00,0,815.5999999999999
2022-03-17 00:00:00+01:00,0,1120.6
2022-03-18 00:00:00+01:00,0,1268.9
2022-03-19 00:00:00+01:00,0,1113
2022-03-20 00:00:00+01:00,0,1295.9
2022-03-21 00:00:00+01:00,0,1344.2
2022-03-22 00:00:00+01:00,0,966.722
2022-03-23 00:00:00+01:00,0,1028.3
2022-03-24 00:00:00+01:00,0,1006
2022-03-25 00:00:00+01:00,0,941.934
2022-03-26 00:00:00+01:00,0,838
2022-03-27 00:00:00+01:00,0,596.9
2022-03-28 00:00:00+02:00,0,815.7
2022-03-29 00:00:00+02:00,0,1065.7
2022-03-30 00:00:00+02:00,0,881.1
2022-03-31 00:00:00+02:00,0,995.7
2022-04-01 00:00:00+02:00,0,1584.6
