,Hour_q,Price
2024-01-01 00:00:00+01:00,0,0.1
2024-01-02 00:00:00+01:00,0,28.59
2024-01-03 00:00:00+01:00,0,13.45
2024-01-04 00:00:00+01:00,0,57.3
2024-01-05 00:00:00+01:00,0,86.08
2024-01-06 00:00:00+01:00,0,82.25
2024-01-07 00:00:00+01:00,0,84.08
2024-01-08 00:00:00+01:00,0,83.15
2024-01-09 00:00:00+01:00,0,87.33
2024-01-10 00:00:00+01:00,0,88.56
2024-01-11 00:00:00+01:00,0,91.75
2024-01-12 00:00:00+01:00,0,90.44
2024-01-13 00:00:00+01:00,0,90
2024-01-14 00:00:00+01:00,0,69.74
2024-01-15 00:00:00+01:00,0,71.1
2024-01-16 00:00:00+01:00,0,83.05
2024-01-17 00:00:00+01:00,0,82.25
2024-01-18 00:00:00+01:00,0,79.61
2024-01-19 00:00:00+01:00,0,70.5
2024-01-20 00:00:00+01:00,0,70.05
2024-01-21 00:00:00+01:00,0,69.02
2024-01-22 00:00:00+01:00,0,50.97
2024-01-23 00:00:00+01:00,0,51.9
2024-01-24 00:00:00+01:00,0,56.96
2024-01-25 00:00:00+01:00,0,50.11
2024-01-26 00:00:00+01:00,0,62.8
2024-01-27 00:00:00+01:00,0,59.86
2024-01-28 00:00:00+01:00,0,66.77
2024-01-29 00:00:00+01:00,0,49.97
2024-01-30 00:00:00+01:00,0,71.94
2024-01-31 00:00:00+01:00,0,74.77
,0,
2024-02-01 00:00:00+01:00,0,79.56
2024-02-02 00:00:00+01:00,0,67.75
2024-02-03 00:00:00+01:00,0,67.2
2024-02-04 00:00:00+01:00,0,39.4
2024-02-05 00:00:00+01:00,0,29.31
2024-02-06 00:00:00+01:00,0,46.96
2024-02-07 00:00:00+01:00,0,45.8
2024-02-08 00:00:00+01:00,0,73.7
2024-02-09 00:00:00+01:00,0,61.36
2024-02-10 00:00:00+01:00,0,63.1
2024-02-11 00:00:00+01:00,0,56.06
2024-02-12 00:00:00+01:00,0,64.35
2024-02-13 00:00:00+01:00,0,68.59
2024-02-14 00:00:00+01:00,0,60.63
2024-02-15 00:00:00+01:00,0,59.95
2024-02-16 00:00:00+01:00,0,51.76
2024-02-17 00:00:00+01:00,0,60.92
2024-02-18 00:00:00+01:00,0,62
2024-02-19 00:00:00+01:00,0,44
2024-02-20 00:00:00+01:00,0,58.06
2024-02-21 00:00:00+01:00,0,54.55
2024-02-22 00:00:00+01:00,0,45.19
2024-02-23 00:00:00+01:00,0,11.11
2024-02-24 00:00:00+01:00,0,66.47
2024-02-25 00:00:00+01:00,0,56.57
