"MTU","Scheduled Generation [MW] (D) - BZN|SI","Scheduled Consumption [MW] (D) - BZN|SI"
"01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","1065",""
"01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","1063",""
"01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","1062",""
"01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","1061",""
"01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","1063",""
"01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","1064",""
"01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","1069",""
"01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","1105",""
"01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","1217",""
"01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","1256",""
"01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","1268",""
"01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","1286",""
"01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","1415",""
"01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","1332",""
"01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","1547",""
"01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","1621",""
"01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","1782",""
"01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","1803",""
"01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","1815",""
"01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","1802",""
"01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","1611",""
"01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","1309",""
"01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","1231",""
"01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","1120",""
"02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","1043",""
"02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","1048",""
"02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","1047",""
"02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","1045",""
"02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","1048",""
"02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","1050",""
"02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","1053",""
"02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","1092",""
"02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","1222",""
"02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","1260",""
"02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","1503",""
"02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","1392",""
"02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","1307",""
"02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","1295",""
"02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","1279",""
"02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST)","1320",""
"02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST)","1623",""
"02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST)","1655",""
