"MTU","Scheduled Generation [MW] (D) - BZN|SI","Scheduled Consumption [MW] (D) - BZN|SI"
"01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","1093",""
"01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","1094",""
"01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","1095",""
"01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","1100",""
"01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","1094",""
"01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","1097",""
"01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","1147",""
"01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","1165",""
"01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","1176",""
"01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","1257",""
"01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","1283",""
"01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","1274",""
"01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","1268",""
"01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","1310",""
"01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","1302",""
"01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","1402",""
"01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","1512",""
"01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)","1656",""
"01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)","1663",""
"01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST)","1662",""
"01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST)","1543",""
"01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)","1379",""
"01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST)","1193",""
"01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)","1144",""
"02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)","1064",""
"02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)","1066",""
"02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)","1068",""
"02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)","1070",""
"02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)","1064",""
"02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)","1069",""
"02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)","1175",""
"02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)","1400",""
"02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)","1414",""
"02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)","1437",""
"02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)","1266",""
"02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)","1168",""
"02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)","1167",""
"02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)","1142",""
"02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)","1140",""
"02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)","1544",""
"02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)","1818",""
"02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)","1851",""
"02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)","1854",""
"02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)","1817",""
"02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)","1755",""
"02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)","1502",""
"02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)","1257",""
"02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST)","1094",""
"03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST)","1071",""
"03.01.2023 01:00 - 03.01.2023 02:00 (CET/CEST)","1072",""
"03.01.2023 02:00 - 03.01.2023 03:00 (CET/CEST)","1075",""
"03.01.2023 03:00 - 03.01.2023 04:00 (CET/CEST)","1079",""
"03.01.2023 04:00 - 03.01.2023 05:00 (CET/CEST)","1069",""
"03.01.2023 05:00 - 03.01.2023 06:00 (CET/CEST)","1074",""
"03.01.2023 06:00 - 03.01.2023 07:00 (CET/CEST)","1102",""
"03.01.2023 07:00 - 03.01.2023 08:00 (CET/CEST)","1431",""
"03.01.2023 08:00 - 03.01.2023 09:00 (CET/CEST)","1660",""
"03.01.2023 09:00 - 03.01.2023 10:00 (CET/CEST)","1764",""
"03.01.2023 10:00 - 03.01.2023 11:00 (CET/CEST)","1586",""
"03.01.2023 11:00 - 03.01.2023 12:00 (CET/CEST)","1375",""
"03.01.2023 12:00 - 03.01.2023 13:00 (CET/CEST)","1195",""
"03.01.2023 13:00 - 03.01.2023 14:00 (CET/CEST)","1172",""
"03.01.2023 14:00 - 03.01.2023 15:00 (CET/CEST)","1279",""
"03.01.2023 15:00 - 03.01.2023 16:00 (CET/CEST)","1641",""
"03.01.2023 16:00 - 03.01.2023 17:00 (CET/CEST)","1754",""
"03.01.2023 17:00 - 03.01.2023 18:00 (CET/CEST)","1783",""
"03.01.2023 18:00 - 03.01.2023 19:00 (CET/CEST)","1705",""
"03.01.2023 19:00 - 03.01.2023 20:00 (CET/CEST)","1514",""
"03.01.2023 20:00 - 03.01.2023 21:00 (CET/CEST)","1294",""
"03.01.2023 21:00 - 03.01.2023 22:00 (CET/CEST)","1118",""
"03.01.2023 22:00 - 03.01.2023 23:00 (CET/CEST)","1091",""
"03.01.2023 23:00 - 04.01.2023 00:00 (CET/CEST)","1088",""
"04.01.2023 00:00 - 04.01.2023 01:00 (CET/CEST)","1039",""
"04.01.2023 01:00 - 04.01.2023 02:00 (CET/CEST)","1038",""
"04.01.2023 02:00 - 04.01.2023 03:00 (CET/CEST)","1041",""
"04.01.2023 03:00 - 04.01.2023 04:00 (CET/CEST)","1048",""
"04.01.2023 04:00 - 04.01.2023 05:00 (CET/CEST)","1038",""
"04.01.2023 05:00 - 04.01.2023 06:00 (CET/CEST)","1044",""
"04.01.2023 06:00 - 04.01.2023 07:00 (CET/CEST)","1176",""
"04.01.2023 07:00 - 04.01.2023 08:00 (CET/CEST)","1646",""
"04.01.2023 08:00 - 04.01.2023 09:00 (CET/CEST)","1645",""
"04.01.2023 09:00 - 04.01.2023 10:00 (CET/CEST)","1638",""
"04.01.2023 10:00 - 04.01.2023 11:00 (CET/CEST)","1463",""
"04.01.2023 11:00 - 04.01.2023 12:00 (CET/CEST)","1297",""
"04.01.2023 12:00 - 04.01.2023 13:00 (CET/CEST)","1179",""
"04.01.2023 13:00 - 04.01.2023 14:00 (CET/CEST)","1188",""
"04.01.2023 14:00 - 04.01.2023 15:00 (CET/CEST)","1248",""
"04.01.2023 15:00 - 04.01.2023 16:00 (CET/CEST)","1715",""
"04.01.2023 16:00 - 04.01.2023 17:00 (CET/CEST)","1801",""
"04.01.2023 17:00 - 04.01.2023 18:00 (CET/CEST)","1800",""
"04.01.2023 18:00 - 04.01.2023 19:00 (CET/CEST)","1793",""
"04.01.2023 19:00 - 04.01.2023 20:00 (CET/CEST)","1792",""
"04.01.2023 20:00 - 04.01.2023 21:00 (CET/CEST)","1640",""
"04.01.2023 21:00 - 04.01.2023 22:00 (CET/CEST)","1483",""
"04.01.2023 22:00 - 04.01.2023 23:00 (CET/CEST)","1094",""
"04.01.2023 23:00 - 05.01.2023 00:00 (CET/CEST)","1074",""
"05.01.2023 00:00 - 05.01.2023 01:00 (CET/CEST)","1039",""
"05.01.2023 01:00 - 05.01.2023 02:00 (CET/CEST)","1041",""
"05.01.2023 02:00 - 05.01.2023 03:00 (CET/CEST)","1041",""
"05.01.2023 03:00 - 05.01.2023 04:00 (CET/CEST)","1048",""
"05.01.2023 04:00 - 05.01.2023 05:00 (CET/CEST)","1039",""
"05.01.2023 05:00 - 05.01.2023 06:00 (CET/CEST)","1040",""
"05.01.2023 06:00 - 05.01.2023 07:00 (CET/CEST)","1211",""
"05.01.2023 07:00 - 05.01.2023 08:00 (CET/CEST)","1367",""
"05.01.2023 08:00 - 05.01.2023 09:00 (CET/CEST)","1510",""
"05.01.2023 09:00 - 05.01.2023 10:00 (CET/CEST)","1305",""
"05.01.2023 10:00 - 05.01.2023 11:00 (CET/CEST)","1157",""
"05.01.2023 11:00 - 05.01.2023 12:00 (CET/CEST)","1146",""
"05.01.2023 12:00 - 05.01.2023 13:00 (CET/CEST)","1148",""
"05.01.2023 13:00 - 05.01.2023 14:00 (CET/CEST)","1254",""
"05.01.2023 14:00 - 05.01.2023 15:00 (CET/CEST)","1642",""
"05.01.2023 15:00 - 05.01.2023 16:00 (CET/CEST)","1674",""
"05.01.2023 16:00 - 05.01.2023 17:00 (CET/CEST)","1734",""
"05.01.2023 17:00 - 05.01.2023 18:00 (CET/CEST)","1736",""
"05.01.2023 18:00 - 05.01.2023 19:00 (CET/CEST)","1728",""
"05.01.2023 19:00 - 05.01.2023 20:00 (CET/CEST)","1725",""
"05.01.2023 20:00 - 05.01.2023 21:00 (CET/CEST)","1683",""
"05.01.2023 21:00 - 05.01.2023 22:00 (CET/CEST)","1434",""
"05.01.2023 22:00 - 05.01.2023 23:00 (CET/CEST)","1119",""
"05.01.2023 23:00 - 06.01.2023 00:00 (CET/CEST)","1103",""
"06.01.2023 00:00 - 06.01.2023 01:00 (CET/CEST)","1033",""
"06.01.2023 01:00 - 06.01.2023 02:00 (CET/CEST)","1032",""
"06.01.2023 02:00 - 06.01.2023 03:00 (CET/CEST)","1035",""
"06.01.2023 03:00 - 06.01.2023 04:00 (CET/CEST)","1041",""
"06.01.2023 04:00 - 06.01.2023 05:00 (CET/CEST)","1033",""
"06.01.2023 05:00 - 06.01.2023 06:00 (CET/CEST)","1039",""
"06.01.2023 06:00 - 06.01.2023 07:00 (CET/CEST)","1066",""
"06.01.2023 07:00 - 06.01.2023 08:00 (CET/CEST)","1280",""
"06.01.2023 08:00 - 06.01.2023 09:00 (CET/CEST)","1375",""
"06.01.2023 09:00 - 06.01.2023 10:00 (CET/CEST)","1312",""
"06.01.2023 10:00 - 06.01.2023 11:00 (CET/CEST)","1286",""
"06.01.2023 11:00 - 06.01.2023 12:00 (CET/CEST)","1290",""
"06.01.2023 12:00 - 06.01.2023 13:00 (CET/CEST)","1192",""
"06.01.2023 13:00 - 06.01.2023 14:00 (CET/CEST)","1177",""
"06.01.2023 14:00 - 06.01.2023 15:00 (CET/CEST)","1197",""
"06.01.2023 15:00 - 06.01.2023 16:00 (CET/CEST)","1520",""
"06.01.2023 16:00 - 06.01.2023 17:00 (CET/CEST)","1689",""
"06.01.2023 17:00 - 06.01.2023 18:00 (CET/CEST)","1726",""
"06.01.2023 18:00 - 06.01.2023 19:00 (CET/CEST)","1744",""
"06.01.2023 19:00 - 06.01.2023 20:00 (CET/CEST)","1599",""
"06.01.2023 20:00 - 06.01.2023 21:00 (CET/CEST)","1580",""
"06.01.2023 21:00 - 06.01.2023 22:00 (CET/CEST)","1502",""
"06.01.2023 22:00 - 06.01.2023 23:00 (CET/CEST)","1315",""
"06.01.2023 23:00 - 07.01.2023 00:00 (CET/CEST)","1162",""
"07.01.2023 00:00 - 07.01.2023 01:00 (CET/CEST)","1037",""
"07.01.2023 01:00 - 07.01.2023 02:00 (CET/CEST)","1027",""
"07.01.2023 02:00 - 07.01.2023 03:00 (CET/CEST)","1027",""
"07.01.2023 03:00 - 07.01.2023 04:00 (CET/CEST)","1035",""
"07.01.2023 04:00 - 07.01.2023 05:00 (CET/CEST)","1025",""
"07.01.2023 05:00 - 07.01.2023 06:00 (CET/CEST)","1183",""
"07.01.2023 06:00 - 07.01.2023 07:00 (CET/CEST)","1202",""
"07.01.2023 07:00 - 07.01.2023 08:00 (CET/CEST)","1121",""
"07.01.2023 08:00 - 07.01.2023 09:00 (CET/CEST)","1209",""
"07.01.2023 09:00 - 07.01.2023 10:00 (CET/CEST)","1271",""
"07.01.2023 10:00 - 07.01.2023 11:00 (CET/CEST)","1362",""
"07.01.2023 11:00 - 07.01.2023 12:00 (CET/CEST)","1274",""
"07.01.2023 12:00 - 07.01.2023 13:00 (CET/CEST)","1162",""
"07.01.2023 13:00 - 07.01.2023 14:00 (CET/CEST)","1185",""
"07.01.2023 14:00 - 07.01.2023 15:00 (CET/CEST)","1445",""
"07.01.2023 15:00 - 07.01.2023 16:00 (CET/CEST)","1549",""
"07.01.2023 16:00 - 07.01.2023 17:00 (CET/CEST)","1716",""
"07.01.2023 17:00 - 07.01.2023 18:00 (CET/CEST)","1726",""
"07.01.2023 18:00 - 07.01.2023 19:00 (CET/CEST)","1728",""
"07.01.2023 19:00 - 07.01.2023 20:00 (CET/CEST)","1728",""
"07.01.2023 20:00 - 07.01.2023 21:00 (CET/CEST)","1560",""
"07.01.2023 21:00 - 07.01.2023 22:00 (CET/CEST)","1465",""
"07.01.2023 22:00 - 07.01.2023 23:00 (CET/CEST)","1193",""
"07.01.2023 23:00 - 08.01.2023 00:00 (CET/CEST)","1051",""
"08.01.2023 00:00 - 08.01.2023 01:00 (CET/CEST)","1048",""
"08.01.2023 01:00 - 08.01.2023 02:00 (CET/CEST)","1040",""
"08.01.2023 02:00 - 08.01.2023 03:00 (CET/CEST)","1037",""
"08.01.2023 03:00 - 08.01.2023 04:00 (CET/CEST)","1044",""
"08.01.2023 04:00 - 08.01.2023 05:00 (CET/CEST)","1035",""
"08.01.2023 05:00 - 08.01.2023 06:00 (CET/CEST)","1039",""
"08.01.2023 06:00 - 08.01.2023 07:00 (CET/CEST)","1057",""
"08.01.2023 07:00 - 08.01.2023 08:00 (CET/CEST)","1107",""
"08.01.2023 08:00 - 08.01.2023 09:00 (CET/CEST)","1407",""
"08.01.2023 09:00 - 08.01.2023 10:00 (CET/CEST)","1561",""
"08.01.2023 10:00 - 08.01.2023 11:00 (CET/CEST)","1345",""
"08.01.2023 11:00 - 08.01.2023 12:00 (CET/CEST)","1203",""
"08.01.2023 12:00 - 08.01.2023 13:00 (CET/CEST)","1177",""
"08.01.2023 13:00 - 08.01.2023 14:00 (CET/CEST)","1166",""
"08.01.2023 14:00 - 08.01.2023 15:00 (CET/CEST)","1256",""
"08.01.2023 15:00 - 08.01.2023 16:00 (CET/CEST)","1547",""
"08.01.2023 16:00 - 08.01.2023 17:00 (CET/CEST)","1547",""
"08.01.2023 17:00 - 08.01.2023 18:00 (CET/CEST)","1563",""
"08.01.2023 18:00 - 08.01.2023 19:00 (CET/CEST)","1568",""
"08.01.2023 19:00 - 08.01.2023 20:00 (CET/CEST)","1568",""
"08.01.2023 20:00 - 08.01.2023 21:00 (CET/CEST)","1430",""
"08.01.2023 21:00 - 08.01.2023 22:00 (CET/CEST)","1204",""
"08.01.2023 22:00 - 08.01.2023 23:00 (CET/CEST)","1085",""
"08.01.2023 23:00 - 09.01.2023 00:00 (CET/CEST)","1082",""
"09.01.2023 00:00 - 09.01.2023 01:00 (CET/CEST)","1098",""
"09.01.2023 01:00 - 09.01.2023 02:00 (CET/CEST)","1099",""
"09.01.2023 02:00 - 09.01.2023 03:00 (CET/CEST)","1101",""
"09.01.2023 03:00 - 09.01.2023 04:00 (CET/CEST)","1107",""
"09.01.2023 04:00 - 09.01.2023 05:00 (CET/CEST)","1110",""
"09.01.2023 05:00 - 09.01.2023 06:00 (CET/CEST)","1139",""
"09.01.2023 06:00 - 09.01.2023 07:00 (CET/CEST)","1233",""
"09.01.2023 07:00 - 09.01.2023 08:00 (CET/CEST)","1454",""
"09.01.2023 08:00 - 09.01.2023 09:00 (CET/CEST)","1735",""
"09.01.2023 09:00 - 09.01.2023 10:00 (CET/CEST)","1764",""
"09.01.2023 10:00 - 09.01.2023 11:00 (CET/CEST)","1683",""
"09.01.2023 11:00 - 09.01.2023 12:00 (CET/CEST)","1564",""
"09.01.2023 12:00 - 09.01.2023 13:00 (CET/CEST)","1406",""
"09.01.2023 13:00 - 09.01.2023 14:00 (CET/CEST)","1402",""
"09.01.2023 14:00 - 09.01.2023 15:00 (CET/CEST)","1506",""
"09.01.2023 15:00 - 09.01.2023 16:00 (CET/CEST)","1945",""
"09.01.2023 16:00 - 09.01.2023 17:00 (CET/CEST)","1970",""
"09.01.2023 17:00 - 09.01.2023 18:00 (CET/CEST)","1979",""
"09.01.2023 18:00 - 09.01.2023 19:00 (CET/CEST)","1989",""
"09.01.2023 19:00 - 09.01.2023 20:00 (CET/CEST)","1994",""
"09.01.2023 20:00 - 09.01.2023 21:00 (CET/CEST)","1752",""
"09.01.2023 21:00 - 09.01.2023 22:00 (CET/CEST)","1603",""
"09.01.2023 22:00 - 09.01.2023 23:00 (CET/CEST)","1441",""
"09.01.2023 23:00 - 10.01.2023 00:00 (CET/CEST)","1440",""
"10.01.2023 00:00 - 10.01.2023 01:00 (CET/CEST)","1344",""
"10.01.2023 01:00 - 10.01.2023 02:00 (CET/CEST)","1343",""
"10.01.2023 02:00 - 10.01.2023 03:00 (CET/CEST)","1345",""
"10.01.2023 03:00 - 10.01.2023 04:00 (CET/CEST)","1350",""
"10.01.2023 04:00 - 10.01.2023 05:00 (CET/CEST)","1352",""
"10.01.2023 05:00 - 10.01.2023 06:00 (CET/CEST)","1377",""
"10.01.2023 06:00 - 10.01.2023 07:00 (CET/CEST)","1433",""
"10.01.2023 07:00 - 10.01.2023 08:00 (CET/CEST)","1604",""
"10.01.2023 08:00 - 10.01.2023 09:00 (CET/CEST)","1837",""
"10.01.2023 09:00 - 10.01.2023 10:00 (CET/CEST)","1933",""
"10.01.2023 10:00 - 10.01.2023 11:00 (CET/CEST)","1852",""
"10.01.2023 11:00 - 10.01.2023 12:00 (CET/CEST)","1830",""
"10.01.2023 12:00 - 10.01.2023 13:00 (CET/CEST)","1667",""
"10.01.2023 13:00 - 10.01.2023 14:00 (CET/CEST)","1573",""
"10.01.2023 14:00 - 10.01.2023 15:00 (CET/CEST)","1562",""
"10.01.2023 15:00 - 10.01.2023 16:00 (CET/CEST)","1639",""
"10.01.2023 16:00 - 10.01.2023 17:00 (CET/CEST)","1743",""
"10.01.2023 17:00 - 10.01.2023 18:00 (CET/CEST)","1816",""
"10.01.2023 18:00 - 10.01.2023 19:00 (CET/CEST)","1816",""
"10.01.2023 19:00 - 10.01.2023 20:00 (CET/CEST)","1779",""
"10.01.2023 20:00 - 10.01.2023 21:00 (CET/CEST)","1666",""
"10.01.2023 21:00 - 10.01.2023 22:00 (CET/CEST)","1521",""
"10.01.2023 22:00 - 10.01.2023 23:00 (CET/CEST)","1439",""
"10.01.2023 23:00 - 11.01.2023 00:00 (CET/CEST)","1434",""
"11.01.2023 00:00 - 11.01.2023 01:00 (CET/CEST)","1404",""
"11.01.2023 01:00 - 11.01.2023 02:00 (CET/CEST)","1406",""
"11.01.2023 02:00 - 11.01.2023 03:00 (CET/CEST)","1405",""
"11.01.2023 03:00 - 11.01.2023 04:00 (CET/CEST)","1360",""
"11.01.2023 04:00 - 11.01.2023 05:00 (CET/CEST)","1404",""
"11.01.2023 05:00 - 11.01.2023 06:00 (CET/CEST)","1398",""
"11.01.2023 06:00 - 11.01.2023 07:00 (CET/CEST)","1473",""
"11.01.2023 07:00 - 11.01.2023 08:00 (CET/CEST)","1940",""
"11.01.2023 08:00 - 11.01.2023 09:00 (CET/CEST)","2026",""
"11.01.2023 09:00 - 11.01.2023 10:00 (CET/CEST)","1945",""
"11.01.2023 10:00 - 11.01.2023 11:00 (CET/CEST)","1676",""
"11.01.2023 11:00 - 11.01.2023 12:00 (CET/CEST)","1636",""
"11.01.2023 12:00 - 11.01.2023 13:00 (CET/CEST)","1633",""
"11.01.2023 13:00 - 11.01.2023 14:00 (CET/CEST)","1619",""
"11.01.2023 14:00 - 11.01.2023 15:00 (CET/CEST)","1600",""
"11.01.2023 15:00 - 11.01.2023 16:00 (CET/CEST)","1891",""
"11.01.2023 16:00 - 11.01.2023 17:00 (CET/CEST)","2085",""
"11.01.2023 17:00 - 11.01.2023 18:00 (CET/CEST)","2231",""
"11.01.2023 18:00 - 11.01.2023 19:00 (CET/CEST)","1950",""
"11.01.2023 19:00 - 11.01.2023 20:00 (CET/CEST)","1949",""
"11.01.2023 20:00 - 11.01.2023 21:00 (CET/CEST)","1664",""
"11.01.2023 21:00 - 11.01.2023 22:00 (CET/CEST)","1496",""
"11.01.2023 22:00 - 11.01.2023 23:00 (CET/CEST)","1416",""
"11.01.2023 23:00 - 12.01.2023 00:00 (CET/CEST)","1403",""
"12.01.2023 00:00 - 12.01.2023 01:00 (CET/CEST)","1226",""
"12.01.2023 01:00 - 12.01.2023 02:00 (CET/CEST)","1225",""
"12.01.2023 02:00 - 12.01.2023 03:00 (CET/CEST)","1226",""
"12.01.2023 03:00 - 12.01.2023 04:00 (CET/CEST)","1231",""
"12.01.2023 04:00 - 12.01.2023 05:00 (CET/CEST)","1224",""
"12.01.2023 05:00 - 12.01.2023 06:00 (CET/CEST)","1245",""
"12.01.2023 06:00 - 12.01.2023 07:00 (CET/CEST)","1263",""
"12.01.2023 07:00 - 12.01.2023 08:00 (CET/CEST)","1486",""
"12.01.2023 08:00 - 12.01.2023 09:00 (CET/CEST)","2090",""
"12.01.2023 09:00 - 12.01.2023 10:00 (CET/CEST)","1979",""
"12.01.2023 10:00 - 12.01.2023 11:00 (CET/CEST)","1906",""
"12.01.2023 11:00 - 12.01.2023 12:00 (CET/CEST)","1576",""
"12.01.2023 12:00 - 12.01.2023 13:00 (CET/CEST)","1524",""
"12.01.2023 13:00 - 12.01.2023 14:00 (CET/CEST)","1565",""
"12.01.2023 14:00 - 12.01.2023 15:00 (CET/CEST)","1691",""
"12.01.2023 15:00 - 12.01.2023 16:00 (CET/CEST)","1929",""
"12.01.2023 16:00 - 12.01.2023 17:00 (CET/CEST)","2105",""
"12.01.2023 17:00 - 12.01.2023 18:00 (CET/CEST)","1986",""
"12.01.2023 18:00 - 12.01.2023 19:00 (CET/CEST)","2034",""
"12.01.2023 19:00 - 12.01.2023 20:00 (CET/CEST)","2097",""
"12.01.2023 20:00 - 12.01.2023 21:00 (CET/CEST)","1976",""
"12.01.2023 21:00 - 12.01.2023 22:00 (CET/CEST)","1589",""
"12.01.2023 22:00 - 12.01.2023 23:00 (CET/CEST)","1340",""
"12.01.2023 23:00 - 13.01.2023 00:00 (CET/CEST)","1274",""
"13.01.2023 00:00 - 13.01.2023 01:00 (CET/CEST)","1240",""
"13.01.2023 01:00 - 13.01.2023 02:00 (CET/CEST)","1231",""
"13.01.2023 02:00 - 13.01.2023 03:00 (CET/CEST)","1229",""
"13.01.2023 03:00 - 13.01.2023 04:00 (CET/CEST)","1237",""
"13.01.2023 04:00 - 13.01.2023 05:00 (CET/CEST)","1229",""
"13.01.2023 05:00 - 13.01.2023 06:00 (CET/CEST)","1261",""
"13.01.2023 06:00 - 13.01.2023 07:00 (CET/CEST)","1513",""
"13.01.2023 07:00 - 13.01.2023 08:00 (CET/CEST)","1773",""
"13.01.2023 08:00 - 13.01.2023 09:00 (CET/CEST)","1787",""
"13.01.2023 09:00 - 13.01.2023 10:00 (CET/CEST)","1780",""
"13.01.2023 10:00 - 13.01.2023 11:00 (CET/CEST)","1557",""
"13.01.2023 11:00 - 13.01.2023 12:00 (CET/CEST)","1395",""
"13.01.2023 12:00 - 13.01.2023 13:00 (CET/CEST)","1399",""
"13.01.2023 13:00 - 13.01.2023 14:00 (CET/CEST)","1445",""
"13.01.2023 14:00 - 13.01.2023 15:00 (CET/CEST)","1768",""
"13.01.2023 15:00 - 13.01.2023 16:00 (CET/CEST)","1969",""
"13.01.2023 16:00 - 13.01.2023 17:00 (CET/CEST)","1958",""
"13.01.2023 17:00 - 13.01.2023 18:00 (CET/CEST)","2137",""
"13.01.2023 18:00 - 13.01.2023 19:00 (CET/CEST)","2140",""
"13.01.2023 19:00 - 13.01.2023 20:00 (CET/CEST)","2059",""
"13.01.2023 20:00 - 13.01.2023 21:00 (CET/CEST)","1823",""
"13.01.2023 21:00 - 13.01.2023 22:00 (CET/CEST)","1655",""
"13.01.2023 22:00 - 13.01.2023 23:00 (CET/CEST)","1427",""
