"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Slovenia (SI)","Generation - Solar  [MW] Intraday / Slovenia (SI)","Generation - Solar  [MW] Current / Slovenia (SI)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","0"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","0"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","0"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","0"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","0"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","0"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","0"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","0"
"01.01.2022 08:00 - 01.01.2022 09:00","6","6","5"
"01.01.2022 09:00 - 01.01.2022 10:00","19","19","16"
"01.01.2022 10:00 - 01.01.2022 11:00","31","31","29"
"01.01.2022 11:00 - 01.01.2022 12:00","38","38","36"
"01.01.2022 12:00 - 01.01.2022 13:00","38","38","37"
"01.01.2022 13:00 - 01.01.2022 14:00","29","29","34"
"01.01.2022 14:00 - 01.01.2022 15:00","17","17","21"
"01.01.2022 15:00 - 01.01.2022 16:00","5","5","6"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","0"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","0"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","0"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","0"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","0"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","0"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","0"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","0"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","0"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","0"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","0"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","0"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","0"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","0"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","0"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0","0"
"02.01.2022 08:00 - 02.01.2022 09:00","6","6","6"
"02.01.2022 09:00 - 02.01.2022 10:00","20","20","20"
"02.01.2022 10:00 - 02.01.2022 11:00","35","35","35"
"02.01.2022 11:00 - 02.01.2022 12:00","47","47","47"
"02.01.2022 12:00 - 02.01.2022 13:00","48","48","48"
"02.01.2022 13:00 - 02.01.2022 14:00","39","39","39"
"02.01.2022 14:00 - 02.01.2022 15:00","23","23","23"
"02.01.2022 15:00 - 02.01.2022 16:00","7","7","7"
"02.01.2022 16:00 - 02.01.2022 17:00","1","1","1"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0","0"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0","0"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0","0"
"02.01.2022 20:00 - 02.01.2022 21:00","1","1","0"
"02.01.2022 21:00 - 02.01.2022 22:00","0","0","0"
"02.01.2022 22:00 - 02.01.2022 23:00","0","0","0"
"02.01.2022 23:00 - 03.01.2022 00:00","0","0","0"
"03.01.2022 00:00 - 03.01.2022 01:00","0","0","0"
"03.01.2022 01:00 - 03.01.2022 02:00","0","0","0"
"03.01.2022 02:00 - 03.01.2022 03:00","0","0","0"
"03.01.2022 03:00 - 03.01.2022 04:00","0","0","0"
"03.01.2022 04:00 - 03.01.2022 05:00","0","0","0"
"03.01.2022 05:00 - 03.01.2022 06:00","0","0","0"
"03.01.2022 06:00 - 03.01.2022 07:00","0","0","0"
"03.01.2022 07:00 - 03.01.2022 08:00","0","0","0"
"03.01.2022 08:00 - 03.01.2022 09:00","7","7","7"
"03.01.2022 09:00 - 03.01.2022 10:00","26","26","26"
"03.01.2022 10:00 - 03.01.2022 11:00","43","43","43"
"03.01.2022 11:00 - 03.01.2022 12:00","55","55","55"
"03.01.2022 12:00 - 03.01.2022 13:00","52","52","52"
"03.01.2022 13:00 - 03.01.2022 14:00","38","38","38"
"03.01.2022 14:00 - 03.01.2022 15:00","23","23","23"
"03.01.2022 15:00 - 03.01.2022 16:00","7","7","7"
"03.01.2022 16:00 - 03.01.2022 17:00","1","1","1"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","0"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","0"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","0"
"03.01.2022 20:00 - 03.01.2022 21:00","1","1","1"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","0"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","0"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","0"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","0"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","0"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","0"
"04.01.2022 03:00 - 04.01.2022 04:00","0","0","0"
"04.01.2022 04:00 - 04.01.2022 05:00","0","0","0"
"04.01.2022 05:00 - 04.01.2022 06:00","0","0","0"
"04.01.2022 06:00 - 04.01.2022 07:00","0","0","0"
"04.01.2022 07:00 - 04.01.2022 08:00","0","0","0"
"04.01.2022 08:00 - 04.01.2022 09:00","7","7","8"
"04.01.2022 09:00 - 04.01.2022 10:00","24","24","23"
"04.01.2022 10:00 - 04.01.2022 11:00","43","43","35"
"04.01.2022 11:00 - 04.01.2022 12:00","54","54","41"
"04.01.2022 12:00 - 04.01.2022 13:00","54","54","44"
"04.01.2022 13:00 - 04.01.2022 14:00","41","41","35"
"04.01.2022 14:00 - 04.01.2022 15:00","25","25","21"
"04.01.2022 15:00 - 04.01.2022 16:00","7","7","7"
"04.01.2022 16:00 - 04.01.2022 17:00","1","1","1"
"04.01.2022 17:00 - 04.01.2022 18:00","0","0","0"
"04.01.2022 18:00 - 04.01.2022 19:00","0","0","0"
"04.01.2022 19:00 - 04.01.2022 20:00","0","0","0"
"04.01.2022 20:00 - 04.01.2022 21:00","1","1","1"
"04.01.2022 21:00 - 04.01.2022 22:00","0","0","0"
"04.01.2022 22:00 - 04.01.2022 23:00","0","0","0"
"04.01.2022 23:00 - 05.01.2022 00:00","0","0","0"
"05.01.2022 00:00 - 05.01.2022 01:00","0","0","0"
"05.01.2022 01:00 - 05.01.2022 02:00","0","0","0"
"05.01.2022 02:00 - 05.01.2022 03:00","0","0","0"
"05.01.2022 03:00 - 05.01.2022 04:00","0","0","0"
"05.01.2022 04:00 - 05.01.2022 05:00","0","0","0"
"05.01.2022 05:00 - 05.01.2022 06:00","0","0","0"
"05.01.2022 06:00 - 05.01.2022 07:00","0","0","0"
"05.01.2022 07:00 - 05.01.2022 08:00","0","0","0"
"05.01.2022 08:00 - 05.01.2022 09:00","8","8","8"
"05.01.2022 09:00 - 05.01.2022 10:00","25","25","24"
"05.01.2022 10:00 - 05.01.2022 11:00","36","36","39"
"05.01.2022 11:00 - 05.01.2022 12:00","36","36","43"
"05.01.2022 12:00 - 05.01.2022 13:00","34","34","39"
"05.01.2022 13:00 - 05.01.2022 14:00","22","22","24"
"05.01.2022 14:00 - 05.01.2022 15:00","12","12","10"
"05.01.2022 15:00 - 05.01.2022 16:00","5","5","3"
"05.01.2022 16:00 - 05.01.2022 17:00","1","1","0"
"05.01.2022 17:00 - 05.01.2022 18:00","0","0","0"
"05.01.2022 18:00 - 05.01.2022 19:00","0","0","0"
"05.01.2022 19:00 - 05.01.2022 20:00","0","0","0"
"05.01.2022 20:00 - 05.01.2022 21:00","1","1","1"
"05.01.2022 21:00 - 05.01.2022 22:00","0","0","0"
"05.01.2022 22:00 - 05.01.2022 23:00","0","0","0"
"05.01.2022 23:00 - 06.01.2022 00:00","0","0","0"
"06.01.2022 00:00 - 06.01.2022 01:00","0","0","0"
"06.01.2022 01:00 - 06.01.2022 02:00","0","0","0"
"06.01.2022 02:00 - 06.01.2022 03:00","0","0","0"
"06.01.2022 03:00 - 06.01.2022 04:00","0","0","0"
"06.01.2022 04:00 - 06.01.2022 05:00","0","0","0"
"06.01.2022 05:00 - 06.01.2022 06:00","0","0","0"
"06.01.2022 06:00 - 06.01.2022 07:00","0","0","0"
"06.01.2022 07:00 - 06.01.2022 08:00","0","0","0"
"06.01.2022 08:00 - 06.01.2022 09:00","5","5","4"
"06.01.2022 09:00 - 06.01.2022 10:00","16","16","14"
"06.01.2022 10:00 - 06.01.2022 11:00","28","28","24"
"06.01.2022 11:00 - 06.01.2022 12:00","36","36","31"
"06.01.2022 12:00 - 06.01.2022 13:00","41","41","35"
"06.01.2022 13:00 - 06.01.2022 14:00","34","34","31"
"06.01.2022 14:00 - 06.01.2022 15:00","24","24","21"
"06.01.2022 15:00 - 06.01.2022 16:00","10","10","9"
"06.01.2022 16:00 - 06.01.2022 17:00","1","1","1"
"06.01.2022 17:00 - 06.01.2022 18:00","0","0","0"
"06.01.2022 18:00 - 06.01.2022 19:00","0","0","0"
"06.01.2022 19:00 - 06.01.2022 20:00","0","0","0"
"06.01.2022 20:00 - 06.01.2022 21:00","1","1","1"
"06.01.2022 21:00 - 06.01.2022 22:00","0","0","0"
"06.01.2022 22:00 - 06.01.2022 23:00","0","0","0"
"06.01.2022 23:00 - 07.01.2022 00:00","0","0","0"
"07.01.2022 00:00 - 07.01.2022 01:00","0","0","0"
"07.01.2022 01:00 - 07.01.2022 02:00","0","0","0"
"07.01.2022 02:00 - 07.01.2022 03:00","0","0","0"
"07.01.2022 03:00 - 07.01.2022 04:00","0","0","0"
"07.01.2022 04:00 - 07.01.2022 05:00","0","0","0"
"07.01.2022 05:00 - 07.01.2022 06:00","0","0","0"
"07.01.2022 06:00 - 07.01.2022 07:00","0","0","0"
"07.01.2022 07:00 - 07.01.2022 08:00","0","0","0"
"07.01.2022 08:00 - 07.01.2022 09:00","10","10","10"
"07.01.2022 09:00 - 07.01.2022 10:00","30","30","31"
"07.01.2022 10:00 - 07.01.2022 11:00","47","47","47"
