Hour_q,Price,DeliveryDateTime
0,0.1,2024-01-01 00:00:00+01:00
0,36.5,2024-01-02 00:00:00+01:00
0,1.92,2024-01-03 00:00:00+01:00
0,63.5,2024-01-04 00:00:00+01:00
0,91.08,2024-01-05 00:00:00+01:00
0,90.2,2024-01-06 00:00:00+01:00
0,92.08,2024-01-07 00:00:00+01:00
0,89.6,2024-01-08 00:00:00+01:00
0,87.03,2024-01-09 00:00:00+01:00
0,99,2024-01-10 00:00:00+01:00
0,91.9,2024-01-11 00:00:00+01:00
0,98.2,2024-01-12 00:00:00+01:00
0,93.4,2024-01-13 00:00:00+01:00
0,77,2024-01-14 00:00:00+01:00
0,78.3,2024-01-15 00:00:00+01:00
0,86.71,2024-01-16 00:00:00+01:00
0,87.3,2024-01-17 00:00:00+01:00
0,87.11,2024-01-18 00:00:00+01:00
0,65,2024-01-19 00:00:00+01:00
0,78.8,2024-01-20 00:00:00+01:00
0,75.48,2024-01-21 00:00:00+01:00
0,57.8,2024-01-22 00:00:00+01:00
0,58.8,2024-01-23 00:00:00+01:00
0,79,2024-01-24 00:00:00+01:00
0,45.74,2024-01-25 00:00:00+01:00
0,60.8,2024-01-26 00:00:00+01:00
0,66.8,2024-01-27 00:00:00+01:00
0,73.02,2024-01-28 00:00:00+01:00
0,61.47,2024-01-29 00:00:00+01:00
0,71.94,2024-01-30 00:00:00+01:00
0,95.24,2024-01-31 00:00:00+01:00
0,90,2024-02-01 00:00:00+01:00
0,71.88,2024-02-02 00:00:00+01:00
0,89,2024-02-03 00:00:00+01:00
0,39.49,2024-02-04 00:00:00+01:00
0,33.49,2024-02-05 00:00:00+01:00
0,56.8,2024-02-06 00:00:00+01:00
0,51.39,2024-02-07 00:00:00+01:00
0,76.48,2024-02-08 00:00:00+01:00
0,72.91,2024-02-09 00:00:00+01:00
0,66.6,2024-02-10 00:00:00+01:00
0,50.49,2024-02-11 00:00:00+01:00
0,70.35,2024-02-12 00:00:00+01:00
0,74.74,2024-02-13 00:00:00+01:00
0,68.97,2024-02-14 00:00:00+01:00
0,49.95,2024-02-15 00:00:00+01:00
0,49.26,2024-02-16 00:00:00+01:00
0,65.55,2024-02-17 00:00:00+01:00
0,66.15,2024-02-18 00:00:00+01:00
0,49.69,2024-02-19 00:00:00+01:00
0,64.7,2024-02-20 00:00:00+01:00
