"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|IT-North","Without sequence","170.28","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|IT-North","Without sequence","155.72","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|IT-North","Without sequence","147.09","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|IT-North","Without sequence","91.0","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|IT-North","Without sequence","104.0","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|IT-North","Without sequence","140.6","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|IT-North","Without sequence","147.09","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|IT-North","Without sequence","99.99","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|IT-North","Without sequence","67.99","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|IT-North","Without sequence","95.0","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|IT-North","Without sequence","135.8","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|IT-North","Without sequence","150.7","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|IT-North","Without sequence","155.72","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|IT-North","Without sequence","147.09","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|IT-North","Without sequence","100.0","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|IT-North","Without sequence","155.0","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|IT-North","Without sequence","169.78","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|IT-North","Without sequence","203.1","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|IT-North","Without sequence","205.83","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|IT-North","Without sequence","214.66","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|IT-North","Without sequence","214.66","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|IT-North","Without sequence","203.0","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|IT-North","Without sequence","180.0","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|IT-North","Without sequence","162.44","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|IT-North","Without sequence","148.08","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|IT-North","Without sequence","142.85","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|IT-North","Without sequence","140.6","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|IT-North","Without sequence","100.0","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|IT-North","Without sequence","140.6","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|IT-North","Without sequence","141.93","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|IT-North","Without sequence","147.09","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|IT-North","Without sequence","152.61","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|IT-North","Without sequence","152.59","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|IT-North","Without sequence","155.72","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|IT-North","Without sequence","167.98","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|IT-North","Without sequence","175.08","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|IT-North","Without sequence","189.58","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|IT-North","Without sequence","169.69","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|IT-North","Without sequence","155.72","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|IT-North","Without sequence","167.75","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|IT-North","Without sequence","194.21","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|IT-North","Without sequence","245.0","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|IT-North","Without sequence","225.19","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|IT-North","Without sequence","216.29","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|IT-North","Without sequence","199.64","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|IT-North","Without sequence","178.41","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|IT-North","Without sequence","154.44","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|IT-North","Without sequence","144.79","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|IT-North","Without sequence","127.0","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|IT-North","Without sequence","127.0","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|IT-North","Without sequence","84.62","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|IT-North","Without sequence","83.27","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|IT-North","Without sequence","85.0","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|IT-North","Without sequence","84.5","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|IT-North","Without sequence","164.46","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|IT-North","Without sequence","202.03","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|IT-North","Without sequence","212.0","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|IT-North","Without sequence","232.0","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|IT-North","Without sequence","239.51","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|IT-North","Without sequence","212.22","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|IT-North","Without sequence","202.03","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|IT-North","Without sequence","199.89","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|IT-North","Without sequence","207.16","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|IT-North","Without sequence","265.0","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|IT-North","Without sequence","270.0","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|IT-North","Without sequence","300.0","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|IT-North","Without sequence","300.0","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|IT-North","Without sequence","275.0","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|IT-North","Without sequence","221.16","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|IT-North","Without sequence","199.08","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|IT-North","Without sequence","170.0","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|IT-North","Without sequence","161.01","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|IT-North","Without sequence","150.55","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|IT-North","Without sequence","140.6","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|IT-North","Without sequence","113.29","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|IT-North","Without sequence","105.81","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|IT-North","Without sequence","105.0","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|IT-North","Without sequence","120.0","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|IT-North","Without sequence","156.91","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|IT-North","Without sequence","182.64","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|IT-North","Without sequence","200.0","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|IT-North","Without sequence","192.8","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|IT-North","Without sequence","189.88","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|IT-North","Without sequence","182.42","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|IT-North","Without sequence","182.46","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|IT-North","Without sequence","179.59","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|IT-North","Without sequence","179.0","",""
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|IT-North","Without sequence","180.93","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|IT-North","Without sequence","192.27","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|IT-North","Without sequence","201.21","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|IT-North","Without sequence","197.19","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|IT-North","Without sequence","190.35","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|IT-North","Without sequence","170.84","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|IT-North","Without sequence","161.3","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|IT-North","Without sequence","156.8","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|IT-North","Without sequence","145.6","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|IT-North","Without sequence","142.6","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|IT-North","Without sequence","105.1","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|IT-North","Without sequence","84.5","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|IT-North","Without sequence","75.38","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|IT-North","Without sequence","79.11","",""
