date,temperature_2m,cloud_cover,direct_normal_irradiance
2024-11-03 23:00:00+00:00,2.824,100.0,0.0
2024-11-04 00:00:00+00:00,1.924,100.0,0.0
2024-11-04 01:00:00+00:00,1.824,100.0,0.0
2024-11-04 02:00:00+00:00,2.174,100.0,0.0
2024-11-04 03:00:00+00:00,2.524,100.0,0.0
2024-11-04 04:00:00+00:00,1.874,100.0,0.0
2024-11-04 05:00:00+00:00,1.574,100.0,0.0
2024-11-04 06:00:00+00:00,2.124,100.0,0.0
2024-11-04 07:00:00+00:00,2.474,100.0,6.0196686
2024-11-04 08:00:00+00:00,3.174,100.0,21.622004
2024-11-04 09:00:00+00:00,4.724,100.0,48.261936
2024-11-04 10:00:00+00:00,6.874,72.0,196.22337
2024-11-04 11:00:00+00:00,8.874,10.0,534.52344
2024-11-04 12:00:00+00:00,9.324,44.0,709.5987
2024-11-04 13:00:00+00:00,10.424,0.0,656.95874
2024-11-04 14:00:00+00:00,10.824,0.0,589.58026
2024-11-04 15:00:00+00:00,10.574,0.0,402.1042
2024-11-04 16:00:00+00:00,9.174,0.0,51.642487
2024-11-04 17:00:00+00:00,7.274,0.0,0.0
2024-11-04 18:00:00+00:00,4.874,42.0,0.0
2024-11-04 19:00:00+00:00,4.424,0.0,0.0
2024-11-04 20:00:00+00:00,4.274,0.0,0.0
2024-11-04 21:00:00+00:00,1.424,100.0,0.0
2024-11-04 22:00:00+00:00,1.0239999,100.0,0.0
2024-11-04 23:00:00+00:00,0.62399995,100.0,0.0
2024-11-05 00:00:00+00:00,-0.526,100.0,0.0
2024-11-05 01:00:00+00:00,-0.676,100.0,0.0
2024-11-05 02:00:00+00:00,-0.82600003,100.0,0.0
2024-11-05 03:00:00+00:00,-0.676,100.0,0.0
2024-11-05 04:00:00+00:00,0.174,100.0,0.0
2024-11-05 05:00:00+00:00,0.824,100.0,0.0
2024-11-05 06:00:00+00:00,0.324,100.0,0.0
2024-11-05 07:00:00+00:00,1.074,100.0,0.0
2024-11-05 08:00:00+00:00,2.474,100.0,11.532949
2024-11-05 09:00:00+00:00,3.574,100.0,25.502342
2024-11-05 10:00:00+00:00,6.024,100.0,95.383675
2024-11-05 11:00:00+00:00,8.474,19.0,448.27472
2024-11-05 12:00:00+00:00,10.374,19.0,719.565
2024-11-05 13:00:00+00:00,10.974,7.0,673.8148
2024-11-05 14:00:00+00:00,10.974,8.0,585.61975
2024-11-05 15:00:00+00:00,10.424,2.0,389.92633
2024-11-05 16:00:00+00:00,8.224,0.0,49.927437
2024-11-05 17:00:00+00:00,5.624,53.0,0.0
2024-11-05 18:00:00+00:00,4.324,100.0,0.0
2024-11-05 19:00:00+00:00,4.524,100.0,0.0
2024-11-05 20:00:00+00:00,3.824,100.0,0.0
2024-11-05 21:00:00+00:00,2.424,100.0,0.0
2024-11-05 22:00:00+00:00,1.924,100.0,0.0
2024-11-05 23:00:00+00:00,1.574,100.0,0.0
2024-11-06 00:00:00+00:00,0.224,100.0,0.0
2024-11-06 01:00:00+00:00,0.124000005,100.0,0.0
2024-11-06 02:00:00+00:00,-0.426,100.0,0.0
2024-11-06 03:00:00+00:00,-0.426,100.0,0.0
2024-11-06 04:00:00+00:00,-0.176,100.0,0.0
2024-11-06 05:00:00+00:00,-0.22600001,100.0,0.0
2024-11-06 06:00:00+00:00,-0.47599998,100.0,0.0
2024-11-06 07:00:00+00:00,0.224,100.0,8.317398
2024-11-06 08:00:00+00:00,2.074,100.0,18.152199
2024-11-06 09:00:00+00:00,3.524,100.0,12.914415
2024-11-06 10:00:00+00:00,5.674,99.0,183.40115
2024-11-06 11:00:00+00:00,7.774,100.0,452.72696
2024-11-06 12:00:00+00:00,7.624,75.0,565.16785
2024-11-06 13:00:00+00:00,8.674,87.0,555.50073
2024-11-06 14:00:00+00:00,8.924,87.0,478.00058
2024-11-06 15:00:00+00:00,7.774,93.0,338.15326
2024-11-06 16:00:00+00:00,6.074,100.0,27.051828
2024-11-06 17:00:00+00:00,4.674,100.0,0.0
2024-11-06 18:00:00+00:00,2.974,100.0,0.0
2024-11-06 19:00:00+00:00,2.524,87.0,0.0
2024-11-06 20:00:00+00:00,2.074,62.0,0.0
2024-11-06 21:00:00+00:00,0.974,100.0,0.0
2024-11-06 22:00:00+00:00,1.074,100.0,0.0
2024-11-06 23:00:00+00:00,0.62399995,100.0,0.0
2024-11-07 00:00:00+00:00,0.92399997,100.0,0.0
2024-11-07 01:00:00+00:00,0.87399995,100.0,0.0
2024-11-07 02:00:00+00:00,0.974,100.0,0.0
2024-11-07 03:00:00+00:00,1.074,100.0,0.0
2024-11-07 04:00:00+00:00,1.224,100.0,0.0
2024-11-07 05:00:00+00:00,1.574,100.0,0.0
2024-11-07 06:00:00+00:00,1.474,100.0,0.0
2024-11-07 07:00:00+00:00,2.024,100.0,0.0
